customer_id,customer_name,email,phone_number,country,city,occupation,annual_income,previous_fraud_flag
C00001,Ayaan Mandal,iborde@example.net,4786676595,India,Ozhukarai,Bank Employee,1233912,0
C00002,Tara Nazareth,parikhidika@example.org,1967484002,India,Shimla,Bank Employee,2607113,0
C00003,Pahal Shukla,mahajansuhani@example.net,3337401619,India,Chinsurah,Teacher,1470528,0
C00004,Kabir Mannan,barkha31@example.com,4109947415,India,Nashik,Bank Employee,4874866,0
C00005,Balvan Dutt,balhaarluthra@example.net,5614640319,India,Guntur,Student,3839336,0
C00006,Dhriti Iyer,dominic53@example.com,2068191629,India,Rewa,Engineer,1085972,0
C00007,Azad Sankar,liyer@example.net,4019399256,India,Ajmer,Teacher,4539227,1
C00008,Victor Zachariah,darawridesh@example.org,0579171557,India,Panipat,Engineer,1967971,1
C00009,Vinaya Tiwari,ekiya50@example.org,9913115920,India,Chandigarh,Business Owner,2149189,0
C00010,Naksh Banerjee,noahsaha@example.org,3122679864,India,Pallavaram,Student,2633632,0
C00011,Aarna Swaminathan,omchandran@example.net,5711251757,India,Bettiah,Teacher,3845146,0
C00012,Rudra Saini,aagarwal@example.net,3783688616,India,Motihari,Doctor,1604256,0
C00013,Charan Jain,mekhala88@example.org,6242603853,India,Ambattur,Doctor,1157401,0
C00014,Aayush Oommen,warhiwason@example.com,6329906099,India,Machilipatnam,Business Owner,1111315,0
C00015,Falan Nori,harita08@example.org,1570308516,India,Sambalpur,Doctor,2518961,0
C00016,Girish Barad,amrita93@example.net,7414784847,India,Surendranagar Dudhrej,Bank Employee,4153935,1
C00017,Fitan Chahal,hsinghal@example.com,7538796924,India,Satna,Engineer,3475376,0
C00018,Eshana Nori,kalpit79@example.com,7130597933,India,Erode,Student,2759357,1
C00019,William Kala,dassaadi@example.org,6257755526,India,Kochi,Doctor,1913033,0
C00020,Kamya Soman,hrandhawa@example.net,4870323540,India,Munger,Engineer,2211749,0
C00021,Charan Kapadia,eta66@example.net,2108630410,India,Sagar,Engineer,2252791,0
C00022,George Shetty,shaurya28@example.net,4700431771,India,Warangal,Business Owner,2631811,0
C00023,Anjali Keer,anjali12@example.net,7082506056,India,Amroha,Bank Employee,3360434,0
C00024,Faqid Vora,nidhiwalia@example.com,1961432994,India,Udupi,Doctor,3280226,0
C00025,Udant Chaudhuri,shanpeter@example.net,7400638449,India,Kamarhati,Bank Employee,2539572,0
