receiver_account,receiver_name,country,risk_rating
B000001,Triveni Bir,UAE,Low
B000002,Max Barad,UAE,High
B000003,Bakhshi Kanda,UK,Low
B000004,Nakul Borah,Singapore,High
B000005,Aashi Cheema,USA,Medium
B000006,Sanya Memon,UAE,High
B000007,Advik Kuruvilla,UAE,High
B000008,Ekavir Goswami,USA,High
B000009,Noah Peri,USA,High
B000010,Panini Chahal,UAE,Low
B000011,Fiyaz Chhabra,USA,Low
B000012,Chakradev Chauhan,India,Low
B000013,Osha Tripathi,Singapore,High
B000014,Zinal Upadhyay,UAE,High
B000015,Oviya Bajaj,Singapore,Low
B000016,Amrita Thakkar,India,High
B000017,Vyanjana Din,USA,High
B000018,Rushil Dara,Singapore,High
B000019,Rachit Salvi,USA,Medium
B000020,Azad Chaudhary,India,Medium
B000021,Wakeeta Das,India,Medium
B000022,Mekhala Kumar,UK,Medium
B000023,Vivaan Arya,Singapore,Low
B000024,Dalaja Soni,USA,Medium
B000025,Simon Pandit,UK,Medium
B000026,Tarak Goda,USA,Low
B000027,Daksha Uppal,UAE,Low
B000028,Nicholas Krishna,Singapore,Medium
B000029,Omya Gala,USA,Medium
B000030,Ranbir Dora,Singapore,Low
B000031,Oviya Keer,UK,Low
B000032,Madhav Murthy,Singapore,Low
B000033,Jackson Sem,USA,Low
B000034,Hitesh Mammen,UAE,High
B000035,Advika Bobal,UK,Low
B000036,Ati Goel,UAE,Low
B000037,Ranbir Swaminathan,UAE,Medium
B000038,Ekiya Soman,Singapore,Low
B000039,Praneel Rege,India,Low
B000040,Hardik Banik,UK,Medium
B000041,Yashawini Sant,India,High
B000042,Mekhala Arora,Singapore,Medium
B000043,Devansh Goel,UAE,Low
B000044,Harini Zacharia,UK,Low
B000045,Warinder Muni,Singapore,Low
B000046,Charita Pillai,Singapore,High
B000047,Zarna Bansal,UAE,Low
B000048,Sachi Mody,USA,High
B000049,Praneel Varty,UK,Low
B000050,Simon Naidu,UK,High
B000051,Tanveer Nath,India,Low
B000052,Amruta Parikh,India,Low
B000053,Krishna Saraf,UK,Medium
B000054,Mohammed Gole,India,Low
B000055,Qadim Devan,India,Medium
B000056,Alka Vala,India,Medium
B000057,Nachiket Lala,USA,High
B000058,Upkaar Kapur,UK,Low
B000059,Hitesh Karpe,India,High
B000060,Vidhi Bali,India,High
B000061,Anvi Sha,India,Medium
B000062,Harita Reddy,UK,Medium
B000063,Ikbal Kata,India,High
B000064,Zaid Jaggi,UK,Low
B000065,Guneet Vaidya,USA,High
