entity_id,entity_name,entity_type,country,sanction_source,sanction_category,reason_for_sanction,risk_level,pep_flag,fraudster_flag,blacklist_flag,regulatory_reference,effective_date,expiry_date,status,created_at,updated_at
SAN00000,Diane Hall,COMPANY,China,OFAC,Financial Crime,Synthetic sanction record,HIGH,False,False,True,REG-0,2021-08-06,2027-09-03,ACTIVE,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
SAN00001,Gary Carson,COMPANY,India,OFAC,Financial Crime,Synthetic sanction record,HIGH,False,False,True,REG-1,2024-08-19,2030-10-08,ACTIVE,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
SAN00002,Jasmine Norris,PERSON,China,OFAC,Financial Crime,Synthetic sanction record,HIGH,False,False,True,REG-2,2025-05-28,2029-03-18,ACTIVE,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
SAN00003,Robin Roberts,COMPANY,Iran,OFAC,Financial Crime,Synthetic sanction record,HIGH,False,True,True,REG-3,2022-03-28,2029-01-16,ACTIVE,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
SAN00004,Amber Larson,COMPANY,India,OFAC,Financial Crime,Synthetic sanction record,HIGH,False,False,True,REG-4,2023-04-19,2030-12-23,ACTIVE,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
SAN00005,Patricia Graham,COMPANY,Iran,OFAC,Financial Crime,Synthetic sanction record,HIGH,False,True,True,REG-5,2024-04-08,2030-06-21,ACTIVE,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
SAN00006,Patricia Hale,COMPANY,Iran,OFAC,Financial Crime,Synthetic sanction record,HIGH,False,True,True,REG-6,2023-02-23,2028-10-28,ACTIVE,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
SAN00007,Leslie Martin,COMPANY,Russia,OFAC,Financial Crime,Synthetic sanction record,HIGH,False,False,True,REG-7,2023-08-25,2030-12-11,ACTIVE,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
SAN00008,Michael Perkins,COMPANY,Russia,OFAC,Financial Crime,Synthetic sanction record,HIGH,False,False,True,REG-8,2022-02-18,2027-10-04,ACTIVE,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
SAN00009,Amanda Mcdonald,PERSON,Iran,OFAC,Financial Crime,Synthetic sanction record,HIGH,False,True,True,REG-9,2024-11-28,2028-04-03,ACTIVE,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
SAN00010,Michelle Marshall,COMPANY,Russia,OFAC,Financial Crime,Synthetic sanction record,HIGH,False,True,True,REG-10,2021-08-22,2029-11-07,ACTIVE,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
SAN00011,Stephanie Williams,PERSON,China,OFAC,Financial Crime,Synthetic sanction record,HIGH,False,False,True,REG-11,2023-12-04,2031-03-22,ACTIVE,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
SAN00012,Dr. Cameron Jackson,COMPANY,Iran,OFAC,Financial Crime,Synthetic sanction record,HIGH,True,False,True,REG-12,2023-10-07,2031-03-23,ACTIVE,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
SAN00013,Robert Zimmerman,PERSON,Iran,OFAC,Financial Crime,Synthetic sanction record,HIGH,False,False,True,REG-13,2023-02-07,2029-09-23,ACTIVE,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
SAN00014,Peggy Reynolds,COMPANY,China,OFAC,Financial Crime,Synthetic sanction record,HIGH,False,False,True,REG-14,2024-10-16,2028-10-09,ACTIVE,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
SAN00015,Judith Woodard MD,COMPANY,India,OFAC,Financial Crime,Synthetic sanction record,HIGH,True,False,True,REG-15,2021-11-24,2028-07-13,ACTIVE,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
SAN00016,Jacob Kelly,COMPANY,Russia,OFAC,Financial Crime,Synthetic sanction record,HIGH,False,False,True,REG-16,2022-02-10,2030-04-02,ACTIVE,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
SAN00017,Wendy Tyler,COMPANY,Russia,OFAC,Financial Crime,Synthetic sanction record,HIGH,False,True,True,REG-17,2024-12-18,2028-02-09,ACTIVE,2026-06-08 20:07:51.071977,2026-06-08 20:07:51.071977
